Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
1,0.99310958,0.990216512,0.995149236,0.994087838,0.991448703,0.99591415
2,0.989756745,0.986348042,0.992317658,0.991961901,0.988969803,0.994144753
3,0.987501661,0.983789834,0.99036771,0.990889278,0.987734861,0.993235203
4,0.985908182,0.981996582,0.988974682,0.990672832,0.987486476,0.993050692
5,0.984760175,0.980710458,0.9879649,0.989800953,0.986488524,0.992304486
6,0.984068144,0.979937376,0.987353905,0.989362891,0.985988869,0.991927741
7,0.983371541,0.979160417,0.986737476,0.989362891,0.985988869,0.991927741
8,0.982903936,0.978639437,0.98632301,0.989362891,0.985988869,0.991927741
9,0.981492394,0.977070295,0.985068194,0.989142101,0.985737218,0.99173756
10,0.981256118,0.976808162,0.98485762,0.988920766,0.985485185,0.991546652
11,0.980306668,0.975756032,0.984010148,0.988920766,0.985485185,0.991546652
12,0.979114661,0.974438333,0.982942985,0.988475808,0.984979088,0.991162179
13,0.978397711,0.973647524,0.982299443,0.988252927,0.984725997,0.990969187
14,0.978157966,0.973383297,0.982084019,0.987806461,0.984219825,0.990581801
15,0.97743732,0.972589798,0.981435746,0.987582823,0.983966663,0.99038738
16,0.977196631,0.972325018,0.981218991,0.987582823,0.983966663,0.99038738
17,0.976955109,0.972059363,0.98100142,0.987358424,0.983712799,0.990192104
18,0.976712749,0.971792828,0.98078303,0.987133871,0.983459026,0.989996444
19,0.976712749,0.971792828,0.98078303,0.986684152,0.982951521,0.989603876
20,0.976469179,0.97152496,0.980563518,0.986684152,0.982951521,0.989603876
21,0.976225062,0.971256568,0.980343423,0.98645883,0.982697578,0.989406859
22,0.975490874,0.970450024,0.979680837,0.98645883,0.982697578,0.989406859
23,0.975000431,0.96991184,0.979237654,0.986232941,0.982443167,0.989209158
24,0.974754778,0.969642429,0.979015517,0.985780748,0.981934588,0.98881272
25,0.9740167,0.968833657,0.978347439,0.985554495,0.981680474,0.988614033
26,0.973277875,0.968025167,0.977677657,0.985328035,0.981426338,0.988414959
27,0.973277875,0.968025167,0.977677657,0.985101523,0.981172374,0.988215623
28,0.973277875,0.968025167,0.977677657,0.984648395,0.980665005,0.987816229
29,0.972783826,0.967484996,0.977229311,0.984421674,0.980411458,0.987616097
30,0.972287887,0.966943042,0.976778944,0.984421674,0.980411458,0.987616097
31,0.972287887,0.966943042,0.976778944,0.984421674,0.980411458,0.987616097
